Team,Rank,Conference,D1_Games,Record,AdjOE,AdjDE,Avg_D1_Win_Chance,EFG_Pct,DEFG_Pct,TO_Pct,DTO_Pct,ORB_Pct,DRB_Pct,FTR,DFTR,Two_Pct,DTwo_Pct,Three_Pct,DThree_Pct,Three_Rate,DThree_Rate,ADJ_T,Wins_Above_Bubble
"Duke1 seed,CHAMPS",1,ACC,40,35-5,121.81,89.16,.97311,50.591,43.77,16.516,21.398,40.76,32.3158,37.9158,34.197,46.9202,44.136,38.523,28.32,32.9154,25.411,64.8221,+8.43
"Kansas1 seed, R32",2,B12,36,33-3,121.02,91.011,.96342,55.19,43.24,18.788,20.0190,38.423,31.7121,41.385,31.448,52.719,40.11,40.47,33.1112,30.7220,32.3169,67.0111,+11.71
"Syracuse1 seed,Sweet Sixteen",3,BE,35,30-5,118.56,91.414,.95213,57.62,45.949,21.4229,22.067,37.137,34.3250,36.9187,25.66,57.11,46.2108,39.116,30.219,30.9213,40.2339,69.533,+7.55
"Kentucky1 seed,Elite Eight",4,SEC,38,35-3,115.520,89.15,.95204,53.032,43.13,20.3164,19.7211,40.94,31.8127,43.653,29.725,54.56,41.15,33.1219,31.346,31.3195,33.8224,68.170,+8.72
"Ohio St.2 seed,Sweet Sixteen",5,B10,37,29-8,118.09,92.823,.94095,56.14,47.187,17.536,21.875,29.5278,29.448,35.8219,26.48,54.83,45.162,39.017,33.7144,35.498,36.1287,64.5228,+5.68
"Kansas St.2 seed,Elite Eight",6,B12,36,28-8,116.914,92.018,.94056,50.687,46.875,19.9141,23.521,40.67,34.0233,50.34,47.3312,49.0117,45.268,36.179,33.7144,32.1173,30.388,68.946,+6.76
"Baylor3 seed,Elite Eight",7,B12,35,27-8,120.44,95.348,.93677,54.415,44.520,20.3164,17.8297,38.226,33.2198,36.1213,34.299,53.017,41.37,38.130,33.7144,32.4168,34.4240,64.1251,+5.59
"West Virginia2 seed,Final Four",8,BE,38,31-7,117.312,92.825,.93618,48.9160,46.981,18.362,20.6150,42.02,32.1144,39.6115,39.1207,48.0158,46.1104,33.7190,32.478,34.8105,32.2162,62.0310,+8.04
"Wisconsin4 seed, R32",9,B10,33,24-9,116.118,92.119,.93509,51.462,46.875,14.52,19.9198,30.2252,26.43,32.5295,36.0138,50.081,45.162,35.798,34.3181,39.441,25.310,58.8340,+3.819
"Purdue4 seed,Sweet Sixteen",10,B10,35,29-6,109.269,87.73,.926010,49.1151,44.826,16.312,23.424,29.4281,31.8127,38.6133,36.8157,49.795,41.68,31.8262,35.4235,30.0235,28.138,66.0162,+6.57
"BYU7 seed, R32",11,MWC,35,29-6,117.710,94.639,.924811,54.911,46.668,15.96,22.067,30.8227,28.123,38.9127,36.4145,51.347,44.648,41.43,33.8150,33.2149,32.3169,70.321,+4.116
"Texas A&M5 seed, R32",12,B12,33,23-10,112.342,91.112,.916912,49.6131,46.774,18.469,20.6150,33.5142,29.757,48.49,35.4129,49.0117,44.957,33.8187,33.6140,34.3124,33.3203,64.6227,+4.314
"California8 seed, R32",13,P10,35,24-11,120.43,97.880,.916113,53.329,48.3139,17.743,18.7261,34.794,31.1101,35.4232,33.384,52.028,48.8212,37.446,31.653,30.0235,31.0114,66.8124,+1.734
"Butler5 seed,Finals",14,Horz,38,33-5,109.863,89.67,.912514,51.080,46.668,18.788,21.682,30.4247,27.413,46.916,34.6109,50.954,46.1104,34.2167,31.758,39.837,31.6130,62.9290,+4.613
"Maryland4 seed, R32",15,ACC,32,23-9,118.37,96.766,.910115,51.851,45.029,16.312,21.398,35.378,36.8310,33.9269,29.623,49.984,42.210,38.622,34.0162,24.7327,31.8138,68.849,+3.323
"Georgetown3 seed, R64",16,BE,34,23-11,116.815,95.956,.906116,55.75,47.499,20.9200,19.7211,33.1159,32.2150,37.0183,33.487,54.74,46.098,38.721,33.4127,30.2232,34.2234,65.2207,+4.315
"Clemson7 seed, R64",17,ACC,32,21-11,111.449,91.516,.905517,51.175,46.458,21.4229,24.69,36.549,33.5211,34.8249,35.4129,50.954,47.3146,34.2167,29.48,33.6138,28.547,68.071,+1.537
"Xavier6 seed,Sweet Sixteen",18,A10,35,26-9,116.616,95.855,.905218,52.244,45.642,18.054,17.8297,35.283,29.961,41.975,32.977,50.179,46.098,37.739,29.810,31.9181,31.2119,68.361,+2.925
"Temple5 seed, R64",19,A10,35,29-6,108.285,89.04,.904919,49.1151,43.02,16.818,18.1286,32.4185,27.919,27.4339,26.910,48.4144,43.116,33.7190,28.53,31.2199,32.6179,60.0335,+5.411
"Villanova2 seed, R32",20,BE,33,25-8,117.511,96.665,.904620,52.244,47.499,18.996,21.1118,37.730,32.0139,43.949,49.1329,50.375,45.578,37.348,33.6140,34.5116,38.5326,70.815,+5.510
"Missouri10 seed, R32",21,B12,34,23-11,112.143,92.322,.903921,50.1103,45.949,17.846,27.13,34.794,38.1336,33.9269,38.9203,47.6177,45.268,36.862,31.758,33.3146,30.9111,69.139,+1.636
"Texas8 seed, R64",22,B12,34,24-10,114.129,94.035,.902622,51.175,44.928,18.362,20.4164,38.915,32.1144,40.795,35.2125,50.954,43.624,34.5146,32.273,26.2305,28.445,71.211,+3.820
"Michigan St.5 seed,Final Four",23,B10,37,28-9,113.532,93.731,.900423,51.656,46.668,21.0204,18.8256,39.89,28.425,36.9187,31.448,51.639,45.162,34.4154,32.897,26.3303,37.0299,65.3199,+3.522
"Utah St.12 seed, R64",24,WAC,34,26-8,116.317,96.159,.898924,55.19,46.153,16.312,17.6308,33.4149,27.07,29.6324,29.725,52.028,44.750,41.62,32.584,29.8244,32.9190,60.3332,-0.2061
"Minnesota11 seed, R64",25,B10,35,21-14,114.525,94.741,.898025,53.131,46.563,19.098,21.398,33.4149,32.5165,33.9269,32.876,50.081,43.624,39.99,34.1169,31.7183,37.7309,65.6181,-0.3563

"Marquette6 seed, R64",26,BE,34,22-12,115.422,95.550,.897826,52.834,49.7200,15.96,22.067,31.2218,33.0191,34.9244,29.421,47.9161,50.0259,41.34,32.584,35.1103,28.954,62.5297,+1.735
"Northern Iowa9 seed,Sweet Sixteen",27,MVC,35,30-5,109.566,90.79,.896427,49.6131,46.668,17.948,20.4164,30.7231,26.86,37.0183,28.818,47.5182,44.750,35.4113,33.3119,37.954,35.9284,58.7342,+3.918
"Washington11 seed,Sweet Sixteen",28,P10,36,26-10,113.038,93.730,.895828,49.7128,46.563,17.536,22.067,36.940,32.2150,40.990,44.6289,49.5101,45.992,33.6195,32.169,25.7311,27.126,71.710,+1.240
